Identificação do item de ensaio,Identificação do Cliente,Amostra  Rotulada como,Coletor,Data Amostragem,Hora amostragem,Data RRA,ID_interno
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
123456,TESTE-01,Teste para Case,Interessado,20/01/2024,09:30:00,2024-01-24,TESTE-01_1705753800
