Parâmetros,Unidade,Diluição,LQ / Faixa,Resultados analíticos
Acetona,ug/m³,"1,5",17,< 17
Acroleína,ug/m³,"1,5","8,3","< 8,3"
Benzeno,ug/m³,"1,5","0,44","0,8"
Cloreto de Benzila,ug/m³,"1,5","0,73","< 0,73"
Bromodiclorometano,ug/m³,"1,5",1,< 1
Bromofórmio,ug/m³,"1,5","7,6","< 7,6"
Bromometano,ug/m³,"1,5","2,8","< 2,8"
"1,3-Butadieno",ug/m³,"1,5","0,29","< 0,29"
Metiletilcetona (2-Butanona),ug/m³,"1,5","2,2","3,6"
Dissulfeto de Carbono,ug/m³,"1,5","2,3","< 2,3"
Tetracloreto de Carbono,ug/m³,"1,5","0,87","< 0,87"
Clorobenzeno,ug/m³,"1,5","1,7","< 1,7"
Cloroetano,ug/m³,"1,5",1,< 1
Clorofórmio,ug/m³,"1,5","0,73","< 0,73"
Clorometano,ug/m³,"1,5","0,73","< 0,73"
Ciclohexano,ug/m³,"1,5","2,5","< 2,5"
Dibromoclorometano,ug/m³,"1,5","1,3","< 1,3"
"1,2-Diclorobenzeno",ug/m³,"1,5","0,87","< 0,87"
"1,3-Diclorobenzeno",ug/m³,"1,5","0,87","< 0,87"
"1,4-Diclorobenzeno",ug/m³,"1,5","0,87","< 0,87"
"1,1-Dicloroetano",ug/m³,"1,5","0,58","< 0,58"
"1,2-Dicloroetano",ug/m³,"1,5","0,58","< 0,58"
"1,1-Dicloroeteno",ug/m³,"1,5","0,58","< 0,58"
"Cis-1,2-Dicloroeteno",ug/m³,"1,5","0,58","< 0,58"
"Trans-1,2-Dicloroeteno",ug/m³,"1,5","0,58","< 0,58"
"1,2-Dicloropropano",ug/m³,"1,5","0,73","< 0,73"
"Cis-1,3-Dicloropropeno",ug/m³,"1,5","0,73","< 0,73"
"Trans-1,3-Dicloropropeno",ug/m³,"1,5","0,73","< 0,73"
"1,4-Dioxano",ug/m³,"1,5","2,6","< 2,6"
Acetato de Etila,ug/m³,"1,5","2,6","7,6"
Etilbenzeno,ug/m³,"1,5","0,58","4,6"
"1,2-Dibromoetano",ug/m³,"1,5","1,2","< 1,2"
4-Etiltolueno,ug/m³,"1,5","0,73","< 0,73"
Triclorofluormetano,ug/m³,"1,5","0,87","1,2"
Diclorodifluormetano,ug/m³,"1,5","0,73","2,3"
"1,1,2-Tricloro-1,2,2-trifluoroetano",ug/m³,"1,5","1,2","< 1,2"
"1,2-Diclorotetrafluoroetano",ug/m³,"1,5",1,< 1
n-Heptano,ug/m³,"1,5","1,5","< 1,5"
Hexaclorobutadieno,ug/m³,"1,5","1,6","< 1,6"
n-Hexano,ug/m³,"1,5","2,6","2,6"
2-Hexanona,ug/m³,"1,5","2,9","< 2,9"
4-Metil-2-Pentanona,ug/m³,"1,5","2,9","< 2,9"
Diclorometano,ug/m³,"1,5","2,5","< 2,5"
Acetona,ug/m³,"1,5",17,< 17
Acroleína,ug/m³,"1,5","8,3","< 8,3"
Benzeno,ug/m³,"1,5","0,44","0,8"
Cloreto de Benzila,ug/m³,"1,5","0,73","< 0,73"
Bromodiclorometano,ug/m³,"1,5",1,< 1
Bromofórmio,ug/m³,"1,5","7,6","< 7,6"
Bromometano,ug/m³,"1,5","2,8","< 2,8"
"1,3-Butadieno",ug/m³,"1,5","0,29","< 0,29"
Metiletilcetona (2-Butanona),ug/m³,"1,5","2,2","3,6"
Dissulfeto de Carbono,ug/m³,"1,5","2,3","< 2,3"
Tetracloreto de Carbono,ug/m³,"1,5","0,87","< 0,87"
Clorobenzeno,ug/m³,"1,5","1,7","< 1,7"
Cloroetano,ug/m³,"1,5",1,< 1
Clorofórmio,ug/m³,"1,5","0,73","< 0,73"
Clorometano,ug/m³,"1,5","0,73","< 0,73"
Ciclohexano,ug/m³,"1,5","2,5","< 2,5"
Dibromoclorometano,ug/m³,"1,5","1,3","< 1,3"
"1,2-Diclorobenzeno",ug/m³,"1,5","0,87","< 0,87"
"1,3-Diclorobenzeno",ug/m³,"1,5","0,87","< 0,87"
"1,4-Diclorobenzeno",ug/m³,"1,5","0,87","< 0,87"
"1,1-Dicloroetano",ug/m³,"1,5","0,58","< 0,58"
"1,2-Dicloroetano",ug/m³,"1,5","0,58","< 0,58"
"1,1-Dicloroeteno",ug/m³,"1,5","0,58","< 0,58"
"Cis-1,2-Dicloroeteno",ug/m³,"1,5","0,58","< 0,58"
"Trans-1,2-Dicloroeteno",ug/m³,"1,5","0,58","< 0,58"
"1,2-Dicloropropano",ug/m³,"1,5","0,73","< 0,73"
"Cis-1,3-Dicloropropeno",ug/m³,"1,5","0,73","< 0,73"
"Trans-1,3-Dicloropropeno",ug/m³,"1,5","0,73","< 0,73"
"1,4-Dioxano",ug/m³,"1,5","2,6","< 2,6"
Acetato de Etila,ug/m³,"1,5","2,6","7,6"
Etilbenzeno,ug/m³,"1,5","0,58","4,6"
"1,2-Dibromoetano",ug/m³,"1,5","1,2","< 1,2"
4-Etiltolueno,ug/m³,"1,5","0,73","< 0,73"
Triclorofluormetano,ug/m³,"1,5","0,87","1,2"
Diclorodifluormetano,ug/m³,"1,5","0,73","2,3"
"1,1,2-Tricloro-1,2,2-trifluoroetano",ug/m³,"1,5","1,2","< 1,2"
"1,2-Diclorotetrafluoroetano",ug/m³,"1,5",1,< 1
n-Heptano,ug/m³,"1,5","1,5","< 1,5"
Hexaclorobutadieno,ug/m³,"1,5","1,6","< 1,6"
n-Hexano,ug/m³,"1,5","2,6","2,6"
2-Hexanona,ug/m³,"1,5","2,9","< 2,9"
4-Metil-2-Pentanona,ug/m³,"1,5","2,9","< 2,9"
Diclorometano,ug/m³,"1,5","2,5","< 2,5"
